Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_9N_4tests_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.COF (),DAQ.Fx (N),DAQ.Fz (N),Rotary.Velocity (rpm),Rotary.Position (rev),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.X Position (mm),RTC.Temperature (°C),
4,5.085,4,0.1113511,1.002973,9.007301,119.5638,4605.756,-9.33,-117.2028,0,25.8,
4,5.185,4,0.1129502,1.016739,9.001655,119.33,4605.947,-9.33,-117.2026,0,25.8,
4,5.285,4,0.1169126,1.050291,8.983561,119.24,4606.14,-9.33,-117.2026,0,25.8,
4,5.385,4,0.1115481,1.001739,8.980334,119.3863,4606.333,-9.33,-117.2026,0,25.8,
4,5.485,4,0.1171024,1.052662,8.989242,119.1462,4606.57,-9.33,-117.2026,0,25.8,
4,5.585,4,0.1115274,1.004905,9.010386,119.7337,4606.759,-9.33,-117.2026,0,25.8,
4,5.685,4,0.1131712,1.018954,9.003648,119.3,4606.953,-9.33,-117.2024,0,25.8,
4,5.785,4,0.115642,1.038851,8.983337,119.3338,4607.144,-9.33,-117.2023,0,25.8,
4,5.885,4,0.1084995,0.9744248,8.980913,119.3887,4607.339,-9.33,-117.2026,0,25.8,
4,5.985,4,0.1161187,1.043592,8.987285,119.3087,4607.532,-9.33,-117.2027,0,25.8,
4,6.085,4,0.1103258,0.9939874,9.009564,119.6225,4607.773,-9.33,-117.203,0,25.8,
4,6.185,4,0.1123853,1.01191,9.003933,119.5712,4607.965,-9.33,-117.203,0,25.8,
4,6.285,4,0.1161149,1.04365,8.988084,119.1225,4608.156,-9.33,-117.2032,0,25.8,
4,6.385,4,0.1079273,0.9695244,8.983127,119.2412,4608.352,-9.33,-117.2033,0,25.8,
4,6.485,4,0.1176898,1.058027,8.98996,119.195,4608.543,-9.33,-117.2036,0,25.8,
4,6.585,4,0.1117521,1.007354,9.014184,119.6825,4608.736,-9.33,-117.2035,0,25.8,
4,6.685,4,0.1127598,1.01558,9.006574,119.5063,4608.923,-9.33,-117.2033,0,25.8,
4,6.785,4,0.1160233,1.042926,8.988935,119.0213,4609.165,-9.33,-117.2031,0,25.8,
4,6.885,4,0.1092332,0.9815302,8.985638,119.53,4609.357,-9.33,-117.2031,0,25.8,
4,6.985,4,0.1174843,1.056049,8.988854,119.2262,4609.555,-9.33,-117.2031,0,25.8,
4,7.085,4,0.1137332,1.024838,9.010893,119.6575,4609.745,-9.33,-117.2028,0,25.8,
4,7.185,4,0.1136144,1.022873,9.003026,119.145,4609.935,-9.33,-117.2027,0,25.8,
4,7.285,4,0.1193397,1.07227,8.985024,119.4287,4610.129,-9.33,-117.2026,0,25.8,
4,7.385,4,0.1106288,0.9935457,8.980898,119.4938,4610.322,-9.33,-117.2025,0,25.8,
4,7.485,4,0.1171822,1.05273,8.983706,119.1938,4610.516,-9.33,-117.2027,0,25.8,
4,7.585,4,0.1144621,1.031349,9.010398,119.4463,4610.711,-9.33,-117.2028,0,25.8,
4,7.685,4,0.1132968,1.020048,9.003323,119.2712,4610.952,-9.33,-117.2029,0,25.8,
4,7.785,4,0.1185551,1.065577,8.988034,119.33,4611.147,-9.33,-117.2029,0,25.8,
4,7.885,4,0.1108605,0.9960917,8.985093,119.2612,4611.339,-9.33,-117.2031,0,25.8,
4,7.985,4,0.117649,1.057423,8.987947,119.6237,4611.528,-9.33,-117.2033,0,25.8,
4,8.085,4,0.1131901,1.020256,9.013648,119.4463,4611.72,-9.33,-117.2034,0,25.8,
4,8.185,4,0.11123,1.001788,9.00645,119.3713,4611.91,-9.33,-117.2034,0,25.7,
4,8.285,4,0.1153392,1.037211,8.9927,119.39,4612.105,-9.33,-117.2034,0,25.7,
4,8.385,4,0.1099873,0.988457,8.987009,119.3937,4612.344,-9.33,-117.2034,0,25.7,
4,8.485,4,0.1138079,1.023026,8.989062,119.2887,4612.536,-9.33,-117.2036,0,25.7,
4,8.585,4,0.1127047,1.016102,9.015615,119.3475,4612.727,-9.33,-117.2038,0,25.7,
4,8.685,4,0.1097797,0.9889668,9.008648,119.15,4612.922,-9.33,-117.2036,0,25.7,
4,8.785,4,0.1160122,1.043277,8.992824,119.5562,4613.117,-9.33,-117.2035,0,25.7,
4,8.885,4,0.1101218,0.9896163,8.986561,119.195,4613.313,-9.33,-117.2034,0,25.7,
4,8.985,4,0.1134304,1.019623,8.988969,119.1912,4613.505,-9.33,-117.2037,0,25.7,
4,9.085,4,0.1138977,1.026877,9.015791,119.6687,4613.699,-9.33,-117.2039,0,25.7,
