Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_9N_4tests-REVERSE_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Position (rev),Rotary.Velocity (rpm),XYZ.X Position (mm),XYZ.Z Position (mm),XYZ.Y Position (mm),
4,5.588,4,8.982801,1.497226,0.166677,43.57875,477.6512,0,-115.3804,-9.33,
4,5.688,4,8.981211,1.522611,0.169533,44.33125,477.6725,0,-115.3804,-9.33,
4,5.788,4,8.985312,1.503393,0.1673167,45.1375,477.1162,0,-115.3804,-9.33,
4,5.888,4,8.983253,1.514071,0.1685437,46.07625,477.4863,0,-115.3802,-9.33,
4,5.988,4,8.978872,1.515243,0.1687565,46.84625,477.6825,0,-115.3802,-9.33,
4,6.088,4,8.98152,1.504189,0.167476,47.61875,477.52,0,-115.3801,-9.33,
4,6.188,4,8.982439,1.522141,0.1694574,48.3775,477.4275,0,-115.3801,-9.33,
4,6.288,4,8.98073,1.502945,0.1673522,49.15625,477.6375,0,-115.3803,-9.33,
4,6.388,4,8.979316,1.526479,0.1699995,49.90625,477.6825,0,-115.3802,-9.33,
4,6.488,4,8.976037,1.518455,0.1691676,50.8575,477.3712,0,-115.3799,-9.33,
4,6.588,4,8.977774,1.510018,0.1681951,51.6325,477.4375,0,-115.3798,-9.33,
4,6.688,4,8.977922,1.526495,0.1700277,52.39625,477.4625,0,-115.3798,-9.33,
4,6.788,4,8.980374,1.506456,0.1677497,53.14125,477.23,0,-115.3798,-9.33,
4,6.888,4,8.976786,1.531685,0.1706273,53.91375,477.3888,0,-115.3798,-9.33,
4,6.988,4,8.975628,1.513083,0.1685769,54.6875,477.455,0,-115.3798,-9.33,
4,7.088,4,8.979276,1.516769,0.1689189,55.4525,477.6325,0,-115.3799,-9.33,
4,7.188,4,8.979477,1.530204,0.1704113,56.3925,477.795,0,-115.3799,-9.33,
4,7.288,4,8.977628,1.49543,0.166573,57.17125,477.4125,0,-115.3802,-9.33,
4,7.388,4,8.977349,1.536329,0.1711339,57.935,477.645,0,-115.3802,-9.33,
4,7.488,4,8.975839,1.518471,0.1691732,58.7075,477.585,0,-115.3802,-9.33,
4,7.588,4,8.977266,1.522897,0.1696393,59.475,477.0338,0,-115.3803,-9.33,
4,7.688,4,8.978495,1.534504,0.1709088,60.25,477.6337,0,-115.3803,-9.33,
4,7.788,4,8.981127,1.517851,0.1690045,61.18875,477.4488,0,-115.3803,-9.33,
4,7.888,4,8.977907,1.543749,0.1719498,61.9625,477.815,0,-115.3805,-9.33,
4,7.988,4,8.977764,1.515587,0.1688157,62.73875,477.4875,0,-115.3805,-9.33,
4,8.088,4,8.981278,1.532717,0.1706569,63.51125,477.3838,0,-115.3805,-9.33,
4,8.188,4,8.982858,1.529688,0.1702897,64.27625,477.5338,0,-115.3805,-9.33,
4,8.288,4,8.977612,1.521488,0.1694758,65.0425,477.3138,0,-115.3805,-9.33,
4,8.388,4,8.976275,1.542538,0.1718461,65.82625,477.345,0,-115.3805,-9.33,
4,8.488,4,8.979319,1.492722,0.16624,66.7925,477.7437,0,-115.3807,-9.33,
4,8.588,4,8.979254,1.529058,0.1702878,67.555,477.345,0,-115.3807,-9.33,
4,8.688,4,8.980006,1.540245,0.1715194,68.30125,477.06,0,-115.3809,-9.33,
4,8.788,4,8.98138,1.529321,0.1702768,69.06625,477.5938,0,-115.3809,-9.33,
4,8.888,4,8.979585,1.544538,0.1720055,69.82999,477.7162,0,-115.3808,-9.33,
4,8.988,4,8.980344,1.513343,0.1685173,70.59,477.6275,0,-115.3807,-9.33,
4,9.088,4,8.983173,1.542034,0.1716581,71.365,477.0912,0,-115.381,-9.33,
4,9.188,4,8.982592,1.530383,0.1703721,72.31375,477.41,0,-115.3809,-9.33,
4,9.288,4,8.979991,1.537443,0.1712076,73.07,477.5338,0,-115.3809,-9.33,
4,9.388,4,8.976368,1.546409,0.1722756,73.83625,477.5313,0,-115.3809,-9.33,
4,9.488,4,8.978037,1.525846,0.1699532,74.61124,477.2012,0,-115.3809,-9.33,
4,9.588,4,8.978894,1.551095,0.172749,75.38375,477.515,0,-115.381,-9.33,
