Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,,Lubricant
Rotary_3N_4tests-REVERSE_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,,Vaseline
Step, Timestamp, RecipeStep, DAQ.COF (),DAQ.Fx (N),DAQ.Fz (N),Rotary.Velocity (rpm),Rotary.Position (rev),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.X Position (mm),RTC.Temperature (°C),
4,4.966,4,0.1648288,0.4933207,2.992927,477.415,1984.339,-9.33,-116.3748,0,25.5,
4,5.066,4,0.1648194,0.4935935,2.994754,477.7913,1985.112,-9.33,-116.3748,0,25.5,
4,5.166,4,0.1644948,0.4929051,2.996479,477.4175,1985.921,-9.33,-116.3749,0,25.5,
4,5.266,4,0.1661105,0.4978704,2.997225,477.1663,1986.894,-9.33,-116.3749,0,25.5,
4,5.366,4,0.1633019,0.4898525,2.999674,477.4837,1987.666,-9.33,-116.3749,0,25.5,
4,5.466,4,0.1635517,0.4902876,2.997754,477.5238,1988.463,-9.33,-116.3749,0,25.5,
4,5.566,4,0.1622015,0.4866992,3.000584,477.5525,1989.238,-9.33,-116.3747,0,25.5,
4,5.666,4,0.1639117,0.4922328,3.003036,477.2237,1990.011,-9.33,-116.3747,0,25.5,
4,5.766,4,0.1645873,0.4941358,3.002271,477.1875,1990.769,-9.33,-116.3747,0,25.5,
4,5.866,4,0.1650988,0.4956719,3.002275,477.9987,1991.561,-9.33,-116.3745,0,25.5,
4,5.966,4,0.1668109,0.5002248,2.998754,477.4512,1992.351,-9.33,-116.3743,0,25.5,
4,6.066,4,0.1641952,0.4926648,3.000482,477.0825,1993.129,-9.33,-116.3743,0,25.5,
4,6.166,4,0.1642219,0.4939345,3.007727,477.7913,1993.904,-9.33,-116.3743,0,25.5,
4,6.266,4,0.1649516,0.4960323,3.007138,477.405,1994.68,-9.33,-116.3743,0,25.5,
4,6.366,4,0.1641301,0.494217,3.011129,477.1837,1995.464,-9.33,-116.3742,0,25.5,
4,6.466,4,0.1611705,0.4847183,3.007488,477.49,1996.443,-9.33,-116.374,0,25.5,
4,6.566,4,0.1621385,0.4874916,3.006637,477.46,1997.21,-9.33,-116.374,0,25.5,
4,6.666,4,0.163888,0.4926095,3.00577,477.5275,1998,-9.33,-116.374,0,25.5,
4,6.766,4,0.1642868,0.4928271,2.999798,477.2162,1998.782,-9.33,-116.3738,0,25.5,
4,6.866,4,0.1667233,0.4997182,2.99729,477.3337,1999.557,-9.33,-116.3739,0,25.5,
4,6.966,4,0.1673432,0.5014718,2.996667,477.6275,2000.343,-9.33,-116.3738,0,25.5,
4,7.066,4,0.1679241,0.5030208,2.995525,477.46,2001.121,-9.33,-116.3738,0,25.5,
4,7.166,4,0.1687919,0.5061188,2.998479,477.1537,2001.909,-9.33,-116.3739,0,25.5,
4,7.266,4,0.1665565,0.4996207,2.999708,477.415,2002.679,-9.33,-116.3737,0,25.5,
4,7.366,4,0.163696,0.4906838,2.997531,477.55,2003.465,-9.33,-116.3737,0,25.5,
4,7.466,4,0.1720866,0.5161242,2.999213,477.1575,2004.246,-9.33,-116.3737,0,25.5,
4,7.566,4,0.1674418,0.5023746,3.000293,477.5137,2005.027,-9.33,-116.3735,0,25.5,
4,7.666,4,0.1683503,0.505294,3.001445,477.6487,2005.991,-9.33,-116.3735,0,25.5,
4,7.766,4,0.1634376,0.4906773,3.002231,477.5137,2006.767,-9.33,-116.3736,0,25.5,
4,7.866,4,0.1619957,0.4854814,2.996878,477.4187,2007.551,-9.33,-116.3735,0,25.5,
4,7.966,4,0.1658131,0.4966721,2.995373,477.4662,2008.339,-9.33,-116.3732,0,25.5,
4,8.066,4,0.1664863,0.4985653,2.994633,477.6288,2009.124,-9.33,-116.373,0,25.5,
4,8.166,4,0.1656819,0.4955712,2.991101,477.59,2009.905,-9.33,-116.3729,0,25.5,
4,8.266,4,0.1710842,0.511292,2.98854,477.0587,2010.686,-9.33,-116.3728,0,25.5,
4,8.366,4,0.1693154,0.5068138,2.993311,477.6212,2011.458,-9.33,-116.3725,0,25.5,
4,8.466,4,0.1631371,0.4879397,2.99098,477.5888,2012.231,-9.33,-116.3725,0,25.5,
4,8.566,4,0.166647,0.4982633,2.989933,476.9425,2013.007,-9.33,-116.3727,0,25.5,
4,8.666,4,0.1707841,0.510438,2.988791,477.685,2013.797,-9.33,-116.3729,0,25.5,
4,8.766,4,0.1694489,0.5061026,2.986757,477.4112,2014.566,-9.33,-116.3729,0,25.5,
4,8.866,4,0.168527,0.5031442,2.98554,477.6725,2015.39,-9.33,-116.373,0,25.5,
4,8.966,4,0.1678727,0.5014458,2.98706,477.2175,2016.151,-9.33,-116.373,0,25.5,
4,9.066,4,0.1681544,0.502407,2.987772,477.4612,2017.125,-9.33,-116.3728,0,25.5,
4,9.166,4,0.168564,0.5039398,2.989605,477.675,2017.904,-9.33,-116.3727,0,25.5,
4,9.266,4,0.1666032,0.4984192,2.991655,477.475,2018.69,-9.33,-116.3729,0,25.5,
4,9.366,4,0.1648675,0.4932266,2.991655,477.0875,2019.471,-9.33,-116.373,0,25.5,
4,9.466,4,0.1628015,0.4878813,2.996785,477.79,2020.245,-9.33,-116.373,0,25.5,
4,9.566,4,0.1647747,0.4929667,2.991763,477.575,2021.024,-9.33,-116.373,0,25.5,
4,9.666,4,0.1683608,0.5033228,2.989549,477.6112,2021.826,-9.33,-116.3732,0,25.5,
4,9.766,4,0.1726155,0.5156566,2.987314,477.0363,2022.615,-9.33,-116.3733,0,25.5,
4,9.866,4,0.1725041,0.5148447,2.984537,477.4837,2023.401,-9.33,-116.3733,0,25.5,
4,9.966,4,0.1713531,0.5119837,2.987887,477.7312,2024.18,-9.33,-116.3732,0,25.5,
4,10.066,4,0.1710733,0.5113505,2.989073,477.37,2024.968,-9.33,-116.3728,0,25.5,
4,10.166,4,0.1702437,0.5092624,2.991373,477.6712,2025.742,-9.33,-116.3727,0,25.5,
4,10.266,4,0.1688401,0.5041866,2.986178,477.5362,2026.522,-9.33,-116.3726,0,25.5,
4,10.366,4,0.1744653,0.5204076,2.982871,477.4738,2027.31,-9.33,-116.3726,0,25.5,
4,10.466,4,0.1754912,0.5240642,2.986271,477.4413,2028.09,-9.33,-116.3727,0,25.5,
4,10.566,4,0.1760268,0.5263634,2.990246,477.7687,2029.069,-9.33,-116.3728,0,25.5,
4,10.666,4,0.1709178,0.5111979,2.990899,477.7187,2029.841,-9.33,-116.3729,0,25.5,
4,10.766,4,0.1709068,0.5111296,2.990692,477.15,2030.634,-9.33,-116.3731,0,25.5,
4,10.866,4,0.1650887,0.4933272,2.988255,477.5737,2031.416,-9.33,-116.3734,0,25.5,
4,10.966,4,0.1660853,0.4963116,2.988292,477.53,2032.204,-9.33,-116.3736,0,25.5,
4,11.066,4,0.1694672,0.5062975,2.987583,477.8125,2032.961,-9.33,-116.3737,0,25.5,
4,11.166,4,0.1709913,0.5108699,2.987695,477.1975,2033.769,-9.33,-116.3737,0,25.5,
4,11.266,4,0.1736242,0.5187839,2.98797,477.2225,2034.552,-9.33,-116.3737,0,25.5,
4,11.366,4,0.1739338,0.519521,2.98689,477.7562,2035.324,-9.33,-116.3736,0,25.5,
4,11.466,4,0.171871,0.5140069,2.990655,477.0713,2036.081,-9.33,-116.3736,0,25.5,
4,11.566,4,0.1733063,0.5187319,2.99315,477.1587,2036.881,-9.33,-116.3737,0,25.5,
4,11.666,4,0.1713397,0.5125877,2.991646,477.7312,2037.67,-9.33,-116.3736,0,25.5,
4,11.766,4,0.1726947,0.5160528,2.988237,477.1812,2038.435,-9.33,-116.3735,0,25.5,
4,11.866,4,0.1731719,0.5169783,2.985348,477.4725,2039.219,-9.33,-116.3733,0,25.5,
4,11.966,4,0.1673488,0.5010301,2.993927,477.4075,2040.19,-9.33,-116.3734,0,25.5,
4,12.066,4,0.1701978,0.5095286,2.993745,477.5438,2040.98,-9.33,-116.3734,0,25.5,
4,12.166,4,0.1684781,0.5040892,2.992017,477.725,2041.746,-9.33,-116.3734,0,25.5,
4,12.266,4,0.1698205,0.5078108,2.99028,477.2525,2042.539,-9.33,-116.3736,0,25.5,
4,12.366,4,0.1733914,0.5188066,2.992113,477.5938,2043.329,-9.33,-116.3736,0,25.5,
4,12.466,4,0.1712893,0.5137568,2.999352,477.7512,2044.11,-9.33,-116.3736,0,25.5,
4,12.566,4,0.1684781,0.5055019,3.000401,477.4325,2044.885,-9.33,-116.3739,0,25.5,
4,12.666,4,0.1652295,0.4956719,2.9999,477.2863,2045.674,-9.33,-116.374,0,25.5,
4,12.766,4,0.1635723,0.4893199,2.99146,477.5412,2046.463,-9.33,-116.374,0,25.5,
4,12.866,4,0.1675798,0.5009327,2.989218,477.565,2047.236,-9.33,-116.3742,0,25.5,
4,12.966,4,0.1724093,0.5153968,2.989379,476.9875,2048.024,-9.33,-116.3742,0,25.5,
4,13.066,4,0.1755528,0.5247948,2.989385,477.8925,2048.804,-9.33,-116.374,0,25.5,
4,13.166,4,0.1759972,0.5263114,2.990453,477.5988,2049.591,-9.33,-116.3739,0,25.5,
4,13.266,4,0.1753246,0.523905,2.988199,477.3138,2050.379,-9.33,-116.374,0,25.5,
4,13.366,4,0.1747563,0.5228139,2.991673,477.1512,2051.359,-9.33,-116.374,0,25.5,
4,13.466,4,0.1743336,0.5221644,2.995203,477.3337,2052.136,-9.33,-116.3737,0,25.5,
4,13.566,4,0.1688032,0.5060701,2.997989,477.7487,2052.917,-9.33,-116.3737,0,25.5,
4,13.666,4,0.1677086,0.5025694,2.996683,477.2875,2053.738,-9.33,-116.3737,0,25.5,
4,13.766,4,0.1693218,0.5063072,2.990206,477.0475,2054.539,-9.33,-116.3737,0,25.5,
