Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius
Rotary_9N_4tests-REVERSE_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Position (rev),Rotary.Velocity (rpm),XYZ.X Position (mm),XYZ.Z Position (mm),XYZ.Y Position (mm),,DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step)
4,5.588,4,8.982801,1.497226,nan,43.57875,477.6512,0,-115.3804,-9.33,,nan,nan,nan
4,5.688,4,8.981211,1.522611,nan,44.33125,477.6725,0,-115.3804,-9.33,,nan,nan,nan
4,5.788,4,8.985312,1.503393,nan,45.1375,477.1162,0,-115.3804,-9.33,,nan,nan,nan
4,5.888,4,8.983253,1.514071,nan,46.07625,477.4863,0,-115.3802,-9.33,,nan,nan,nan
4,5.988,4,8.978872,1.515243,nan,46.84625,477.6825,0,-115.3802,-9.33,,nan,nan,nan
4,6.088,4,8.98152,1.504189,nan,47.61875,477.52,0,-115.3801,-9.33,,nan,nan,nan
4,6.188,4,8.982439,1.522141,nan,48.3775,477.4275,0,-115.3801,-9.33,,nan,nan,nan
4,6.288,4,8.98073,1.502945,nan,49.15625,477.6375,0,-115.3803,-9.33,,nan,nan,nan
4,6.388,4,8.979316,1.526479,nan,49.90625,477.6825,0,-115.3802,-9.33,,nan,nan,nan
4,6.488,4,8.976037,1.518455,nan,50.8575,477.3712,0,-115.3799,-9.33,,nan,nan,nan
4,6.588,4,8.977774,1.510018,nan,51.6325,477.4375,0,-115.3798,-9.33,,nan,nan,nan
4,6.688,4,8.977922,1.526495,nan,52.39625,477.4625,0,-115.3798,-9.33,,nan,nan,nan
4,6.788,4,8.980374,1.506456,nan,53.14125,477.23,0,-115.3798,-9.33,,nan,nan,nan
4,6.888,4,8.976786,1.531685,nan,53.91375,477.3888,0,-115.3798,-9.33,,nan,nan,nan
4,6.988,4,8.975628,1.513083,nan,54.6875,477.455,0,-115.3798,-9.33,,nan,nan,nan
4,7.088,4,8.979276,1.516769,nan,55.4525,477.6325,0,-115.3799,-9.33,,nan,nan,nan
4,7.188,4,8.979477,1.530204,nan,56.3925,477.795,0,-115.3799,-9.33,,nan,nan,nan
4,7.288,4,8.977628,1.49543,nan,57.17125,477.4125,0,-115.3802,-9.33,,nan,nan,nan
4,7.388,4,8.977349,1.536329,nan,57.935,477.645,0,-115.3802,-9.33,,nan,nan,nan
4,7.488,4,8.975839,1.518471,nan,58.7075,477.585,0,-115.3802,-9.33,,nan,nan,nan
4,7.588,4,8.977266,1.522897,nan,59.475,477.0338,0,-115.3803,-9.33,,nan,nan,nan
4,7.688,4,8.978495,1.534504,nan,60.25,477.6337,0,-115.3803,-9.33,,nan,nan,nan
