Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_3N_4tests_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Velocity (rpm),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),
4,7.044,4,3.005151,0.4974352,0.1655275,119.2838,0,-9.33,-114.6057,
4,7.144,4,2.995262,0.4901967,0.1636574,119.2562,0,-9.33,-114.6057,
4,7.244,4,2.991091,0.4821171,0.1611843,119.93,0,-9.33,-114.6058,
4,7.344,4,3.001538,0.5025337,0.1674254,119.6925,0,-9.33,-114.6058,
4,7.444,4,2.993621,0.4783046,0.1597746,119.0287,0,-9.33,-114.6059,
4,7.544,4,3.005962,0.4979029,0.1656384,119.23,0,-9.33,-114.6059,
4,7.644,4,2.994677,0.4891868,0.1633521,118.9688,0,-9.33,-114.6059,
4,7.744,4,2.991714,0.4797075,0.1603454,120.0663,0,-9.33,-114.6059,
4,7.844,4,3.001519,0.504966,0.1682368,119.3087,0,-9.33,-114.6058,
4,7.944,4,2.99125,0.4750734,0.158821,118.9587,0,-9.33,-114.6057,
4,8.044,4,3.003461,0.4980198,0.1658153,119.095,0,-9.33,-114.6058,
4,8.144,4,2.996002,0.4939995,0.1648862,119.4625,0,-9.33,-114.6058,
4,8.244,4,2.988522,0.4815585,0.161136,120.0325,0,-9.33,-114.6056,
4,8.344,4,2.999042,0.5037774,0.1679794,119.63,0,-9.33,-114.6054,
4,8.444,4,2.990417,0.4735568,0.1583582,119.1512,0,-9.33,-114.6055,
4,8.544,4,3.002089,0.4974904,0.1657148,119.3312,0,-9.33,-114.6054,
4,8.644,4,2.991612,0.4929538,0.1647787,119.0413,0,-9.33,-114.6052,
4,8.744,4,2.986819,0.4778305,0.1599797,119.8213,0,-9.33,-114.6053,
4,8.844,4,2.997779,0.508233,0.1695365,119.2962,0,-9.33,-114.6053,
4,8.944,4,2.988559,0.4754209,0.1590803,119.1087,0,-9.33,-114.6053,
4,9.044,4,2.999888,0.4957725,0.1652637,119.0588,0,-9.33,-114.6053,
4,9.144,4,2.99233,0.4881378,0.1631297,119.9012,0,-9.33,-114.605,
4,9.244,4,2.982908,0.4741349,0.1589505,120.0013,0,-9.33,-114.6051,
4,9.344,4,2.995213,0.5083823,0.1697316,119.1675,0,-9.33,-114.6052,
4,9.444,4,2.991194,0.4756612,0.1590205,119.2575,0,-9.33,-114.6056,
4,9.544,4,3.000327,0.4978704,0.1659387,119.0888,0,-9.33,-114.6056,
4,9.644,4,2.992723,0.4949996,0.1654011,119.4613,0,-9.33,-114.6056,
4,9.744,4,2.986581,0.4804122,0.1608569,119.965,0,-9.33,-114.6055,
4,9.844,4,2.99663,0.5068138,0.1691279,119.0437,0,-9.33,-114.6056,
4,9.944,4,2.989791,0.4730405,0.1582186,118.9262,0,-9.33,-114.6056,
4,10.044,4,2.998609,0.4953569,0.1651956,119.0287,0,-9.33,-114.6055,
4,10.144,4,2.99547,0.4955095,0.1654196,119.3363,0,-9.33,-114.6055,
4,10.244,4,2.98459,0.4771518,0.1598718,119.9387,0,-9.33,-114.6058,
4,10.344,4,2.997095,0.5074601,0.1693173,119.185,0,-9.33,-114.6058,
4,10.444,4,2.992404,0.4733133,0.1581716,119.2237,0,-9.33,-114.6057,
4,10.544,4,2.99864,0.498364,0.1661967,119.2838,0,-9.33,-114.6057,
4,10.644,4,2.995931,0.4908397,0.1638355,119.7138,0,-9.33,-114.6057,
4,10.744,4,2.983559,0.4784378,0.1603581,119.7562,0,-9.33,-114.6054,
4,10.844,4,2.994553,0.5074568,0.1694599,118.985,0,-9.33,-114.6053,
4,10.944,4,2.989971,0.4767166,0.1594386,118.965,0,-9.33,-114.6054,
4,11.044,4,2.996014,0.4997766,0.1668138,118.9225,0,-9.33,-114.6057,
4,11.144,4,2.99895,0.4922296,0.164134,119.7237,0,-9.33,-114.6059,
