Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_3N_4tests-REVERSE_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Velocity (rpm),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),
4,6.008,4,2.99042,0.6134011,0.2051221,477.6387,0,-9.33,-114.5742,
4,6.108,4,2.992395,0.6092249,0.2035911,477.55,0,-9.33,-114.5742,
4,6.208,4,2.990599,0.6093547,0.2037567,477.175,0,-9.33,-114.5742,
4,6.308,4,2.99029,0.6118326,0.2046064,477.1888,0,-9.33,-114.5741,
4,6.408,4,2.989915,0.6066269,0.202891,477.635,0,-9.33,-114.5742,
4,6.508,4,2.992587,0.6136934,0.2050712,477.3025,0,-9.33,-114.5744,
4,6.608,4,2.992448,0.6090365,0.2035245,477.3888,0,-9.33,-114.5744,
4,6.708,4,2.990931,0.6104231,0.2040914,477.4225,0,-9.33,-114.5745,
4,6.808,4,2.991844,0.6129887,0.2048866,477.6025,0,-9.33,-114.5745,
4,6.908,4,2.989163,0.6087605,0.2036559,477.6375,0,-9.33,-114.5744,
4,7.008,4,2.99133,0.6137388,0.2051726,476.975,0,-9.33,-114.5744,
4,7.108,4,2.992234,0.6100822,0.2038885,477.9137,0,-9.33,-114.5742,
4,7.208,4,2.99002,0.612862,0.2049692,477.605,0,-9.33,-114.5742,
4,7.308,4,2.990051,0.6174994,0.206518,477.015,0,-9.33,-114.5743,
4,7.408,4,2.989776,0.6095626,0.2038824,477.16,0,-9.33,-114.5745,
4,7.508,4,2.993172,0.6184053,0.2066053,477.5412,0,-9.33,-114.5745,
4,7.608,4,2.991516,0.6110142,0.204249,477.63,0,-9.33,-114.5747,
4,7.708,4,2.992342,0.617048,0.206209,477.2963,0,-9.33,-114.5748,
4,7.808,4,2.993497,0.6153073,0.205548,477.1925,0,-9.33,-114.575,
4,7.908,4,2.991098,0.6115857,0.2044687,477.5425,0,-9.33,-114.5749,
4,8.008,4,2.994575,0.6173922,0.2061702,477.2937,0,-9.33,-114.5751,
4,8.108,4,2.994754,0.6117092,0.2042602,477.2838,0,-9.33,-114.5751,
4,8.208,4,2.99268,0.6174799,0.2063301,477.6162,0,-9.33,-114.5751,
4,8.308,4,2.992395,0.6147747,0.2054457,477.3662,0,-9.33,-114.575,
4,8.408,4,2.993045,0.6130795,0.2048347,477.3813,0,-9.33,-114.5749,
4,8.508,4,2.994832,0.6175708,0.2062122,477.0438,0,-9.33,-114.575,
4,8.608,4,2.992705,0.6139499,0.2051488,477.6237,0,-9.33,-114.575,
4,8.708,4,2.993386,0.6186976,0.2066882,477.8975,0,-9.33,-114.5749,
4,8.808,4,2.993612,0.614752,0.2053546,477.1013,0,-9.33,-114.5751,
4,8.908,4,2.993339,0.6169148,0.2060958,477.3788,0,-9.33,-114.5752,
4,9.008,4,2.995488,0.6230264,0.2079883,477.6563,0,-9.33,-114.5752,
4,9.108,4,2.993745,0.6130828,0.2047879,477.7613,0,-9.33,-114.5753,
4,9.208,4,2.993234,0.6218086,0.2077381,477.1563,0,-9.33,-114.5754,
4,9.308,4,2.993265,0.6161126,0.205833,477.645,0,-9.33,-114.5752,
4,9.408,4,2.993603,0.6160347,0.2057838,477.45,0,-9.33,-114.5754,
4,9.508,4,2.996451,0.6194121,0.2067152,477.3563,0,-9.33,-114.5754,
4,9.608,4,2.993958,0.6146253,0.2052885,477.7075,0,-9.33,-114.5754,
4,9.708,4,2.994082,0.6205292,0.2072519,477.5963,0,-9.33,-114.5751,
4,9.808,4,2.992646,0.6176065,0.2063747,477.5663,0,-9.33,-114.575,
4,9.908,4,2.992862,0.6154177,0.2056285,477.3125,0,-9.33,-114.5748,
4,10.008,4,2.994448,0.6188275,0.2066583,477.2763,0,-9.33,-114.575,
4,10.108,4,2.993181,0.6142551,0.2052181,477.935,0,-9.33,-114.575,
4,10.208,4,2.992426,0.6185937,0.2067198,477.6613,0,-9.33,-114.5749,
4,10.308,4,2.990314,0.6189964,0.2070004,476.8737,0,-9.33,-114.5749,
4,10.408,4,2.991478,0.6189867,0.2069166,477.88,0,-9.33,-114.5747,
4,10.508,4,2.992574,0.6217015,0.207748,477.3912,0,-9.33,-114.5748,
4,10.608,4,2.990206,0.6160867,0.2060349,477.2863,0,-9.33,-114.5748,
4,10.708,4,2.991531,0.6204642,0.2074069,477.2887,0,-9.33,-114.5748,
4,10.808,4,2.989562,0.6160867,0.2060793,477.3325,0,-9.33,-114.5748,
4,10.908,4,2.992169,0.6231726,0.2082679,477.6012,0,-9.33,-114.5748,
4,11.008,4,2.991649,0.6195257,0.207085,477.705,0,-9.33,-114.5748,
4,11.108,4,2.989417,0.6202888,0.2074949,477.4525,0,-9.33,-114.5746,
4,11.208,4,2.989339,0.6209254,0.2077133,477.6313,0,-9.33,-114.5748,
4,11.308,4,2.989184,0.6156937,0.2059738,477.5988,0,-9.33,-114.5747,
4,11.408,4,2.989779,0.6217729,0.2079662,477.035,0,-9.33,-114.5748,
4,11.508,4,2.992284,0.6169375,0.2061761,477.7512,0,-9.33,-114.5749,
4,11.608,4,2.990311,0.6190029,0.2070028,477.615,0,-9.33,-114.5752,
4,11.708,4,2.993794,0.6241143,0.2084693,477.09,0,-9.33,-114.5755,
4,11.808,4,2.991287,0.6186684,0.2068235,477.4837,0,-9.33,-114.5757,
4,11.908,4,2.995141,0.6223283,0.2077793,477.4913,0,-9.33,-114.5757,
4,12.008,4,2.994937,0.6198992,0.2069824,477.7037,0,-9.33,-114.5757,
4,12.108,4,2.993417,0.6215976,0.2076549,477.4825,0,-9.33,-114.5757,
4,12.208,4,2.993748,0.6252867,0.2088642,477.39,0,-9.33,-114.5756,
4,12.308,4,2.991794,0.6182755,0.2066571,477.51,0,-9.33,-114.5755,
4,12.408,4,2.99512,0.6253484,0.2087891,477.5687,0,-9.33,-114.5759,
4,12.508,4,2.997256,0.6200973,0.2068883,477.0388,0,-9.33,-114.576,
4,12.608,4,2.994098,0.6237409,0.2083235,477.8375,0,-9.33,-114.576,
4,12.708,4,2.995182,0.6241111,0.2083717,477.5338,0,-9.33,-114.5759,
4,12.808,4,2.993559,0.6203538,0.2072295,477.0975,0,-9.33,-114.576,
4,12.908,4,2.997683,0.6253191,0.2086008,477.5438,0,-9.33,-114.5761,
4,13.008,4,2.996881,0.6193699,0.2066715,477.62,0,-9.33,-114.5764,
4,13.108,4,2.996401,0.6226562,0.2078013,477.715,0,-9.33,-114.5766,
4,13.208,4,2.997779,0.6210325,0.2071642,477.22,0,-9.33,-114.5765,
4,13.308,4,2.996668,0.6221853,0.2076257,476.9825,0,-9.33,-114.5763,
4,13.408,4,2.99929,0.6288654,0.2096714,477.71,0,-9.33,-114.5764,
4,13.508,4,2.997705,0.6204805,0.2069852,477.555,0,-9.33,-114.5764,
4,13.608,4,2.99598,0.6280015,0.2096147,477.4375,0,-9.33,-114.5762,
4,13.708,4,2.995305,0.6254263,0.2088022,477.6137,0,-9.33,-114.5758,
4,13.808,4,2.993853,0.6215196,0.2075986,477.6038,0,-9.33,-114.5759,
4,13.908,4,2.996671,0.630502,0.2104008,477.1463,0,-9.33,-114.576,
4,14.008,4,2.994764,0.6205552,0.2072134,477.535,0,-9.33,-114.5762,
4,14.108,4,2.994763,0.6293687,0.2101564,477.58,0,-9.33,-114.5762,
4,14.208,4,2.994717,0.6266441,0.2092498,477.63,0,-9.33,-114.5762,
4,14.308,4,2.995147,0.6247638,0.208592,477.5975,0,-9.33,-114.5761,
4,14.408,4,2.996658,0.6281022,0.2096009,477.4,0,-9.33,-114.5762,
4,14.508,4,2.99707,0.6236824,0.2080974,477.5787,0,-9.33,-114.5763,
4,14.608,4,2.996002,0.6265694,0.2091352,477.5925,0,-9.33,-114.5763,
4,14.708,4,2.992729,0.6278067,0.2097773,477.035,0,-9.33,-114.5762,
4,14.808,4,2.993847,0.622036,0.2077715,477.755,0,-9.33,-114.5759,
4,14.908,4,2.995993,0.6281574,0.2096659,477.5412,0,-9.33,-114.5758,
4,15.008,4,2.992838,0.6229063,0.2081323,477.135,0,-9.33,-114.5759,
4,15.108,4,2.992934,0.6308885,0.2107927,477.3625,0,-9.33,-114.5759,
4,15.208,4,2.991126,0.6240202,0.2086239,477.52,0,-9.33,-114.5755,
4,15.308,4,2.992881,0.6301935,0.2105642,477.7,0,-9.33,-114.5756,
4,15.408,4,2.994702,0.6288946,0.2100024,477.075,0,-9.33,-114.5758,
4,15.508,4,2.992794,0.6262155,0.2092411,477.1587,0,-9.33,-114.5758,
4,15.608,4,2.99216,0.6300604,0.2105704,477.7512,0,-9.33,-114.5757,
4,15.708,4,2.99164,0.6242085,0.208651,477.4312,0,-9.33,-114.5755,
4,15.808,4,2.991838,0.6281866,0.2099668,477.1762,0,-9.33,-114.5757,
4,15.908,4,2.993553,0.6216756,0.2076715,477.7075,0,-9.33,-114.5757,
4,16.008,4,2.99189,0.626761,0.2094866,477.5925,0,-9.33,-114.5758,
4,16.108,4,2.991355,0.6307976,0.2108735,477.1463,0,-9.33,-114.5758,
4,16.208,4,2.989262,0.6242313,0.2088246,477.565,0,-9.33,-114.5758,
4,16.308,4,2.993079,0.6282029,0.2098852,477.5575,0,-9.33,-114.5757,
4,16.408,4,2.994095,0.6283263,0.2098552,477.575,0,-9.33,-114.5758,
4,16.508,4,2.991429,0.6260628,0.2092855,477.13,0,-9.33,-114.5758,
4,16.608,4,2.992924,0.6297097,0.2103994,477.4075,0,-9.33,-114.576,
4,16.708,4,2.991637,0.6267058,0.2094859,477.7037,0,-9.33,-114.5759,
4,16.808,4,2.993887,0.632811,0.2113677,477.655,0,-9.33,-114.5759,
4,16.908,4,2.994739,0.6291544,0.2100866,476.9962,0,-9.33,-114.576,
4,17.008,4,2.992983,0.6293135,0.210263,477.81,0,-9.33,-114.576,
4,17.108,4,2.993231,0.6284594,0.2099602,477.5125,0,-9.33,-114.5761,
4,17.208,4,2.992002,0.6272904,0.2096557,477.1237,0,-9.33,-114.5764,
4,17.308,4,2.996621,0.6266311,0.2091126,477.5188,0,-9.33,-114.5764,
4,17.408,4,2.995736,0.6249814,0.2086237,477.5025,0,-9.33,-114.5764,
4,17.508,4,2.993218,0.6309177,0.2107824,477.505,0,-9.33,-114.5765,
4,17.608,4,2.995039,0.629963,0.2103355,477.3062,0,-9.33,-114.5766,
4,17.708,4,2.994438,0.6242475,0.208469,477.2575,0,-9.33,-114.5766,
4,17.808,4,2.996708,0.6317815,0.2108252,477.78,0,-9.33,-114.5767,
4,17.908,4,2.994785,0.6249684,0.2086856,477.6363,0,-9.33,-114.5766,
4,18.008,4,2.994745,0.6296155,0.2102401,477.2325,0,-9.33,-114.5766,
4,18.108,4,2.994695,0.6284107,0.2098413,477.8087,0,-9.33,-114.5766,
4,18.208,4,2.993606,0.6280405,0.209794,477.4437,0,-9.33,-114.5767,
4,18.308,4,2.996469,0.6338177,0.2115215,477.5862,0,-9.33,-114.577,
4,18.408,4,2.997042,0.6242605,0.2082922,477.7462,0,-9.33,-114.577,
4,18.508,4,2.994822,0.632444,0.2111792,477.68,0,-9.33,-114.5769,
4,18.608,4,2.994513,0.6305442,0.2105666,477.5162,0,-9.33,-114.5766,
4,18.708,4,2.993946,0.625868,0.2090445,477.3675,0,-9.33,-114.5766,
4,18.808,4,2.997903,0.634006,0.2114832,477.4037,0,-9.33,-114.5767,
4,18.908,4,2.994482,0.6234421,0.208197,477.7013,0,-9.33,-114.5766,
4,19.008,4,2.993383,0.6294629,0.2102848,477.3625,0,-9.33,-114.5765,
4,19.108,4,2.992844,0.6251925,0.2088958,477.3475,0,-9.33,-114.5763,
4,19.208,4,2.994488,0.6250789,0.2087432,477.565,0,-9.33,-114.5764,
4,19.308,4,2.994977,0.6301546,0.2104038,477.485,0,-9.33,-114.5762,
4,19.408,4,2.993398,0.6250724,0.208817,477.6425,0,-9.33,-114.5761,
4,19.508,4,2.992327,0.6339411,0.2118556,477.1762,0,-9.33,-114.5762,
4,19.608,4,2.991899,0.6299045,0.2105367,477.5275,0,-9.33,-114.5766,
4,19.708,4,2.994414,0.628664,0.2099456,477.4337,0,-9.33,-114.5766,
4,19.808,4,2.996129,0.631827,0.2108811,477.1663,0,-9.33,-114.5765,
