Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_3N_4tests_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Velocity (rpm),Rotary.Position (rev),XYZ.Y Position (mm),XYZ.X Position (mm),XYZ.Z Position (mm),RTC.Temperature (°C),
4,5.248,4,2.991996,0.4163078,0.1391405,119.485,10.24,-9.33,0,-116.3764,25.1,
4,5.348,4,3.014477,0.4205717,0.1395173,119.4038,10.42875,-9.33,0,-116.3764,25.1,
4,5.448,4,3.006916,0.4090368,0.136032,118.9262,10.6225,-9.33,0,-116.3763,25.1,
4,5.548,4,2.996776,0.4359321,0.145467,119.34,10.8125,-9.33,0,-116.3764,25.1,
4,5.648,4,2.99677,0.4124207,0.1376217,119.8,11.0025,-9.33,0,-116.3766,25.1,
4,5.748,4,2.994141,0.4149342,0.138582,119.4075,11.24,-9.33,0,-116.3765,25.1,
4,5.848,4,3.014517,0.4139535,0.13732,119.14,11.4325,-9.33,0,-116.3763,25.1,
4,5.948,4,3.007204,0.4108976,0.1366378,118.8363,11.62375,-9.33,0,-116.3763,25.1,
4,6.048,4,2.998361,0.427781,0.1426716,119.4788,11.81,-9.33,0,-116.3761,25.1,
4,6.148,4,2.995785,0.4037728,0.1347803,119.7863,12,-9.33,0,-116.3762,25.1,
4,6.248,4,2.992999,0.4021458,0.1343622,119.535,12.19,-9.33,0,-116.3764,25.1,
4,6.348,4,3.018142,0.4146517,0.1373864,119.3338,12.42875,-9.33,0,-116.3765,25,
4,6.448,4,3.008758,0.3961413,0.1316627,119.1512,12.62125,-9.33,0,-116.3765,25,
4,6.548,4,3.003036,0.4341557,0.1445722,119.545,12.8125,-9.33,0,-116.3766,25,
4,6.648,4,2.999281,0.4117582,0.1372856,119.485,13.0075,-9.33,0,-116.3766,25,
4,6.748,4,2.992197,0.4071501,0.1360706,119.2988,13.1975,-9.33,0,-116.3764,25,
4,6.848,4,3.015186,0.422741,0.140204,119.2375,13.3875,-9.33,0,-116.3765,25,
4,6.948,4,3.009922,0.4014573,0.133378,118.9112,13.5775,-9.33,0,-116.3767,25,
4,7.048,4,3.000445,0.4393484,0.1464277,119.6025,13.815,-9.33,0,-116.3767,25,
4,7.148,4,2.998671,0.4131676,0.1377836,119.7213,14.00625,-9.33,0,-116.3767,25,
4,7.248,4,2.995544,0.4097383,0.1367826,119.4738,14.19625,-9.33,0,-116.3767,25,
4,7.348,4,3.019818,0.4108846,0.1360627,119.2125,14.38875,-9.33,0,-116.3769,25,
4,7.448,4,3.012108,0.4021685,0.1335173,119.0375,14.58125,-9.33,0,-116.3769,25,
4,7.548,4,3.00665,0.4257124,0.1415903,119.4563,14.77625,-9.33,0,-116.3768,25,
4,7.648,4,3.003393,0.4097351,0.1364241,119.7975,15.015,-9.33,0,-116.3765,25,
4,7.748,4,2.998138,0.4061856,0.1354793,119.3225,15.205,-9.33,0,-116.3763,25,
4,7.848,4,3.019304,0.4144633,0.1372712,118.9737,15.39375,-9.33,0,-116.3763,25,
4,7.948,4,3.010377,0.3942805,0.1309738,119.0625,15.585,-9.33,0,-116.3762,25,
4,8.048,4,3.003423,0.4230528,0.1408568,119.2675,15.77625,-9.33,0,-116.3762,25,
4,8.148,4,3.00186,0.4020841,0.133945,119.81,15.96625,-9.33,0,-116.3763,25,
4,8.248,4,3.000089,0.3907473,0.1302452,119.3087,16.20125,-9.33,0,-116.3764,25,
4,8.348,4,3.02118,0.4133657,0.1368226,119.2275,16.39125,-9.33,0,-116.3762,25,
4,8.448,4,3.011387,0.3855157,0.1280193,119.285,16.57875,-9.33,0,-116.376,25.1,
4,8.548,4,3.004999,0.4169866,0.1387643,119.3987,16.77,-9.33,0,-116.376,25.1,
4,8.648,4,3.002182,0.4024803,0.1340626,119.7688,16.96,-9.33,0,-116.3761,25.1,
4,8.748,4,2.996714,0.3935076,0.131313,119.4325,17.195,-9.33,0,-116.3761,25.1,
4,8.848,4,3.018378,0.4122518,0.1365806,119.0025,17.385,-9.33,0,-116.3761,25.1,
4,8.948,4,3.009393,0.3913416,0.13004,119.2612,17.57375,-9.33,0,-116.3761,25.1,
4,9.048,4,3.004869,0.4158143,0.1383801,119.4575,17.7625,-9.33,0,-116.3759,25.1,
4,9.148,4,3.000538,0.4093681,0.1364316,119.6125,17.955,-9.33,0,-116.376,25.1,
4,9.248,4,2.996559,0.3881234,0.129523,119.4512,18.1925,-9.33,0,-116.376,25.1,
4,9.348,4,3.015635,0.4206951,0.1395047,119.1325,18.38375,-9.33,0,-116.3758,25.1,
4,9.448,4,3.005857,0.3995089,0.1329101,119.305,18.5775,-9.33,0,-116.3757,25.1,
4,9.548,4,3.001993,0.412687,0.137471,119.8875,18.76875,-9.33,0,-116.3756,25.1,
4,9.648,4,2.997686,0.4101312,0.1368159,119.61,18.96,-9.33,0,-116.3758,25.1,
4,9.748,4,2.993296,0.3878051,0.1295579,119.4925,19.15,-9.33,0,-116.3756,25.1,
4,9.848,4,3.015802,0.4205003,0.1394323,119.08,19.38625,-9.33,0,-116.3756,25.1,
