Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_9N_4tests-REVERSE_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.COF (),DAQ.Fx (N),DAQ.Fz (N),Rotary.Velocity (rpm),Rotary.Position (rev),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.X Position (mm),RTC.Temperature (°C),
4,5.155,4,0.1374512,1.236266,8.994217,477.4688,40.12375,-9.33,-117.2058,0,25.9,
4,5.255,4,0.137452,1.236142,8.993263,477.1363,40.885,-9.33,-117.2058,0,25.9,
4,5.355,4,0.1370557,1.232999,8.996331,477.6162,41.65125,-9.33,-117.2061,0,25.9,
4,5.455,4,0.1355778,1.219902,8.997796,477.2913,42.61375,-9.33,-117.2061,0,25.9,
4,5.555,4,0.137807,1.240227,8.999741,476.9838,43.37125,-9.33,-117.2061,0,25.9,
4,5.655,4,0.1355414,1.219216,8.995158,477.8463,44.13875,-9.33,-117.2061,0,25.9,
4,5.755,4,0.1366448,1.229027,8.994319,477.7725,44.8975,-9.33,-117.206,0,25.9,
4,5.855,4,0.1363623,1.226783,8.996495,477.0038,45.65375,-9.33,-117.2061,0,25.9,
4,5.955,4,0.1349575,1.21441,8.998465,477.5988,46.4225,-9.33,-117.2061,0,25.8,
4,6.055,4,0.1366804,1.229709,8.996966,477.4712,47.37,-9.33,-117.2059,0,25.8,
4,6.155,4,0.1352492,1.216407,8.993827,477.5975,48.14625,-9.33,-117.2059,0,25.8,
4,6.255,4,0.1355908,1.21947,8.993752,477.345,48.89375,-9.33,-117.2057,0,25.8,
4,6.355,4,0.1362226,1.225429,8.99578,477.3938,49.6575,-9.33,-117.2057,0,25.8,
4,6.455,4,0.1329563,1.196043,8.995762,477.5587,50.42625,-9.33,-117.2059,0,25.8,
4,6.555,4,0.138445,1.245414,8.995725,477.31,51.1925,-9.33,-117.206,0,25.8,
4,6.655,4,0.1377971,1.239211,8.993012,477.26,52.14875,-9.33,-117.206,0,25.8,
4,6.755,4,0.139776,1.257101,8.993685,477.4488,52.91625,-9.33,-117.2062,0,25.8,
4,6.855,4,0.1395846,1.25575,8.996338,477.8125,53.69125,-9.33,-117.2064,0,25.8,
4,6.955,4,0.1387427,1.248641,8.999691,477.1375,54.46375,-9.33,-117.2062,0,25.8,
4,7.055,4,0.1403975,1.263086,8.996499,476.8062,55.225,-9.33,-117.2062,0,25.8,
4,7.155,4,0.139081,1.250954,8.994428,477.5938,55.9875,-9.33,-117.2062,0,25.8,
4,7.255,4,0.1400546,1.259738,8.994619,476.9487,56.76125,-9.33,-117.206,0,25.8,
4,7.355,4,0.1391255,1.251551,8.995846,477.5325,57.58875,-9.33,-117.2059,0,25.8,
4,7.455,4,0.1372983,1.235074,8.995548,477.655,58.35625,-9.33,-117.2057,0,25.8,
4,7.555,4,0.1371624,1.233495,8.992957,477.6437,59.315,-9.33,-117.2055,0,25.8,
4,7.655,4,0.1354143,1.217258,8.989142,477.5525,60.06625,-9.33,-117.2056,0,25.8,
4,7.755,4,0.1384817,1.245086,8.990975,476.9575,60.83125,-9.33,-117.2057,0,25.8,
4,7.855,4,0.1373345,1.234989,8.992567,477.725,61.5975,-9.33,-117.2055,0,25.8,
4,7.955,4,0.1387296,1.247989,8.995839,477.47,62.36625,-9.33,-117.2058,0,25.8,
4,8.055,4,0.139424,1.253857,8.993124,477.1112,63.15125,-9.33,-117.206,0,25.8,
4,8.155,4,0.1380199,1.240741,8.989579,477.5325,64.1,-9.33,-117.2058,0,25.9,
4,8.255,4,0.1388014,1.248213,8.992796,477.3037,64.86875,-9.33,-117.2058,0,25.9,
4,8.355,4,0.136506,1.227368,8.991306,477.785,65.62749,-9.33,-117.2056,0,25.9,
4,8.455,4,0.1367408,1.229855,8.994062,477.1425,66.39249,-9.33,-117.2055,0,25.9,
4,8.555,4,0.138734,1.247161,8.989579,477.18,67.15,-9.33,-117.2054,0,25.9,
4,8.655,4,0.136753,1.228748,8.985164,477.5475,67.91625,-9.33,-117.2051,0,25.9,
4,8.755,4,0.1408568,1.26582,8.986579,477.1525,68.85875,-9.33,-117.205,0,25.9,
4,8.855,4,0.1363632,1.225724,8.988671,477.5,69.63875,-9.33,-117.2052,0,25.9,
4,8.955,4,0.1389451,1.249249,8.990953,477.7825,70.415,-9.33,-117.2052,0,25.9,
4,9.055,4,0.1390815,1.249915,8.986919,477.3675,71.18,-9.33,-117.2052,0,25.9,
4,9.155,4,0.1388249,1.247521,8.986291,477.4312,71.95625,-9.33,-117.2055,0,25.8,
4,9.255,4,0.1401972,1.26056,8.991334,476.9088,72.71999,-9.33,-117.2057,0,25.8,
4,9.355,4,0.1368704,1.230712,8.991811,477.7962,73.4875,-9.33,-117.2058,0,25.8,
4,9.455,4,0.1400456,1.259784,8.995523,477.6425,74.4375,-9.33,-117.2061,0,25.8,
4,9.555,4,0.1389744,1.249723,8.992471,477.0975,75.20125,-9.33,-117.2063,0,25.8,
4,9.655,4,0.1393192,1.252714,8.991684,477.18,75.965,-9.33,-117.2064,0,25.8,
4,9.755,4,0.1413579,1.271286,8.993384,477.5212,76.72625,-9.33,-117.2064,0,25.8,
4,9.855,4,0.1384173,1.24515,8.995628,477.3275,77.4925,-9.33,-117.2064,0,25.8,
4,9.955,4,0.1401087,1.260589,8.997217,477.4312,78.43124,-9.33,-117.2064,0,25.8,
4,10.055,4,0.1391795,1.251486,8.991889,477.7962,79.1975,-9.33,-117.2064,0,25.8,
4,10.155,4,0.1386147,1.246407,8.991882,477.4175,79.97375,-9.33,-117.2063,0,25.8,
4,10.255,4,0.1397515,1.256955,8.994214,477.0587,80.74125,-9.33,-117.2059,0,25.8,
4,10.355,4,0.1369812,1.231969,8.99371,477.585,81.51125,-9.33,-117.2059,0,25.8,
4,10.455,4,0.1407473,1.265876,8.993963,477.49,82.285,-9.33,-117.206,0,25.8,
4,10.555,4,0.1389672,1.24932,8.99004,477.3412,83.04375,-9.33,-117.2061,0,25.8,
4,10.655,4,0.139125,1.250704,8.989783,477.52,83.81625,-9.33,-117.2058,0,25.8,
4,10.755,4,0.1399323,1.258092,8.990715,477.5875,84.76625,-9.33,-117.2057,0,25.8,
4,10.855,4,0.1381929,1.242822,8.993384,477.9262,85.5225,-9.33,-117.2059,0,25.8,
4,10.955,4,0.1413366,1.270903,8.992024,477.645,86.29124,-9.33,-117.2057,0,25.8,
4,11.055,4,0.1397532,1.256286,8.989319,476.99,87.06001,-9.33,-117.2057,0,25.8,
4,11.155,4,0.1416021,1.27301,8.990052,477.49,87.83,-9.33,-117.2061,0,25.8,
4,11.255,4,0.1415389,1.273117,8.994826,477.6413,88.59875,-9.33,-117.2063,0,25.8,
4,11.355,4,0.1396873,1.256568,8.995579,477.2137,89.55,-9.33,-117.2062,0,25.8,
4,11.455,4,0.1412736,1.270666,8.994363,477.6638,90.3125,-9.33,-117.206,0,25.9,
4,11.555,4,0.1399181,1.258225,8.992582,477.6337,91.07,-9.33,-117.2061,0,25.9,
4,11.655,4,0.1412564,1.270318,8.992997,477.4475,91.8375,-9.33,-117.2062,0,25.9,
4,11.755,4,0.1401218,1.260082,8.992764,477.6675,92.6175,-9.33,-117.2062,0,25.9,
4,11.855,4,0.1402837,1.262086,8.996669,477.59,93.38375,-9.33,-117.2063,0,25.9,
4,11.955,4,0.1419375,1.27654,8.993681,477.3425,94.14875,-9.33,-117.2063,0,25.9,
4,12.055,4,0.1400261,1.258923,8.990631,477.3163,95.12624,-9.33,-117.2063,0,25.9,
4,12.155,4,0.1429021,1.28488,8.991328,477.4263,95.8825,-9.33,-117.2059,0,25.9,
4,12.255,4,0.1405364,1.263739,8.99225,477.7375,96.63875,-9.33,-117.2059,0,25.9,
4,12.355,4,0.1418755,1.275939,8.993372,477.7562,97.4125,-9.33,-117.2061,0,25.9,
4,12.455,4,0.1438958,1.294158,8.993715,477.2125,98.245,-9.33,-117.2063,0,25.9,
4,12.555,4,0.1403207,1.261284,8.988576,477.45,99.01,-9.33,-117.2064,0,25.8,
4,12.655,4,0.1417515,1.274923,8.994071,477.7325,99.76625,-9.33,-117.2064,0,25.8,
