Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_9N_4tests_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.COF (),DAQ.Fx (N),DAQ.Fz (N),Rotary.Velocity (rpm),XYZ.Z Position (mm),XYZ.Y Position (mm),XYZ.X Position (mm),
4,6.203,4,0.1525836,1.370833,8.984142,119.0588,-115.3848,-9.33,0,
4,6.303,4,0.1435821,1.29179,8.996877,119.4013,-115.3846,-9.33,0,
4,6.403,4,0.148521,1.336037,8.995605,119.8238,-115.3845,-9.33,0,
4,6.503,4,0.1471445,1.324063,8.998388,119.075,-115.3845,-9.33,0,
4,6.603,4,0.1439572,1.294914,8.995131,119.2675,-115.3846,-9.33,0,
4,6.703,4,0.1532344,1.376272,8.981483,119.0925,-115.3848,-9.33,0,
4,6.803,4,0.1432244,1.287906,8.992227,119.3075,-115.3846,-9.33,0,
4,6.903,4,0.1499213,1.348273,8.993205,119.9525,-115.3843,-9.33,0,
4,7.003,4,0.147177,1.32456,8.999775,119.23,-115.3841,-9.33,0,
4,7.103,4,0.1441623,1.29607,8.990354,119.27,-115.3841,-9.33,0,
4,7.203,4,0.1534899,1.378295,8.979715,119.085,-115.3843,-9.33,0,
4,7.303,4,0.1429244,1.285253,8.992539,119.7838,-115.3846,-9.33,0,
4,7.403,4,0.1497664,1.347062,8.994418,119.4463,-115.3847,-9.33,0,
4,7.503,4,0.1473688,1.326158,8.998905,119.195,-115.3848,-9.33,0,
4,7.603,4,0.1444723,1.299867,8.997344,119.2463,-115.385,-9.33,0,
4,7.703,4,0.1521193,1.366345,8.982059,119.0213,-115.385,-9.33,0,
4,7.803,4,0.1442159,1.296993,8.993409,119.6513,-115.3848,-9.33,0,
4,7.903,4,0.1477602,1.328941,8.993904,119.6288,-115.385,-9.33,0,
4,8.003,4,0.1479364,1.33189,9.003121,119.1375,-115.3848,-9.33,0,
4,8.103,4,0.1435014,1.290696,8.99431,119.5225,-115.3847,-9.33,0,
4,8.203,4,0.1541229,1.384306,8.981833,119.175,-115.3845,-9.33,0,
4,8.303,4,0.1442344,1.296694,8.990186,119.7787,-115.3845,-9.33,0,
4,8.403,4,0.1492013,1.34184,8.993486,119.2125,-115.3846,-9.33,0,
4,8.503,4,0.1478378,1.330172,8.997505,119.17,-115.3848,-9.33,0,
4,8.603,4,0.1437118,1.292716,8.995193,119.1037,-115.3848,-9.33,0,
4,8.703,4,0.1538244,1.381572,8.981489,119.0612,-115.3848,-9.33,0,
4,8.803,4,0.1437223,1.291823,8.988328,119.7262,-115.3848,-9.33,0,
